idno,cntry,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,anctry1,anctry2
65477,ME,2.0,2.0,2.0,0.9000000000000004,7.0,7.0,Montenegrin nfs,No second ancestry* 
65510,ME,1.0,1.0,1.0,0.0,10.0,10.0,Montenegrin nfs,No second ancestry* 
65513,ME,1.0,1.0,1.0,0.2999999999999998,9.0,5.0,Albanian nfs,No second ancestry* 
65550,ME,1.0,2.0,3.0,0.5999999999999996,10.0,10.0,Muslim nfs,No second ancestry* 
65554,ME,3.0,3.0,3.0,1.5,5.0,3.0,Montenegrin nfs,Bosniak/Bosnian
65573,ME,1.0,2.0,2.0,0.9000000000000004,4.0,6.0,Montenegrin nfs,No second ancestry* 
65678,ME,2.0,2.0,2.0,1.5,5.0,5.0,Montenegrin nfs,No second ancestry* 
65715,ME,3.0,3.0,3.0,1.2000000000000002,6.0,5.0,Serbian nfs,Montenegrin nfs
65811,ME,2.0,1.0,4.0,2.7,4.0,2.0,Muslim nfs,No second ancestry* 
65835,ME,1.0,1.0,1.0,0.9000000000000004,5.0,6.0,Montenegrin nfs,No second ancestry* 
65836,ME,1.0,1.0,1.0,1.5,5.0,5.0,Montenegrin nfs,No second ancestry* 
65849,ME,2.0,2.0,2.0,2.1,4.0,4.0,Montenegrin nfs,No second ancestry* 
65911,ME,4.0,4.0,4.0,3.0,0.0,0.0,Montenegrin nfs,No second ancestry* 
65965,ME,1.0,1.0,1.0,3.0,0.0,0.0,Montenegrin nfs,Serbian nfs
65975,ME,2.0,2.0,2.0,1.2000000000000002,5.0,5.0,Montenegrin nfs,No second ancestry* 
66007,ME,1.0,1.0,1.0,1.5,5.0,6.0,Serbian nfs,No second ancestry* 
66046,ME,2.0,2.0,3.0,1.5,7.0,6.0,Montenegrin nfs,No second ancestry* 
66111,ME,3.0,3.0,3.0,1.2000000000000002,6.0,7.0,Montenegrin nfs,No second ancestry* 
66177,ME,1.0,1.0,1.0,0.5999999999999996,7.0,8.0,Montenegrin nfs,No second ancestry* 
66203,ME,3.0,3.0,3.0,1.5,7.0,5.0,Bosniak/Bosnian,No second ancestry* 
66309,ME,2.0,3.0,3.0,1.7999999999999998,6.0,7.0,Montenegrin nfs,No second ancestry* 
66343,ME,2.0,3.0,4.0,1.2000000000000002,5.0,4.0,Montenegrin nfs,Serbian nfs
66352,ME,3.0,3.0,3.0,1.2000000000000002,5.0,6.0,Montenegrin nfs,No second ancestry* 
66416,ME,4.0,4.0,4.0,3.0,0.0,0.0,Serbian nfs,Montenegrin nfs
66438,ME,2.0,2.0,2.0,2.1,4.0,3.0,Montenegrin nfs,No second ancestry* 
66483,ME,2.0,2.0,2.0,1.2000000000000002,6.0,5.0,Montenegrin nfs,No second ancestry* 
66497,ME,4.0,2.0,3.0,1.7999999999999998,4.0,6.0,Muslim nfs,No second ancestry* 
66535,ME,2.0,2.0,2.0,1.5,5.0,6.0,Yugoslav,Montenegrin nfs
66575,ME,2.0,3.0,3.0,1.7999999999999998,4.0,4.0,Serbian nfs,No second ancestry* 
66580,ME,2.0,2.0,2.0,0.9000000000000004,6.0,6.0,Montenegrin nfs,No second ancestry* 
66660,ME,3.0,3.0,3.0,1.5,5.0,5.0,Montenegrin nfs,No second ancestry* 
66698,ME,4.0,4.0,4.0,1.5,5.0,5.0,Serbian nfs,No second ancestry* 
